Chip Run Info,C:\Users\Teyton Lab\Dropbox (Scripps Research)\Teyton Lab\Biomark\SMS Files\20200203-GE-96x96-TNet006-Plate2\ChipRun.bml,1362427296,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2/3/2020 5:25:12 PM,00:30:38,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S95-A01,CXCR3+PD1+ Cell4,Unknown,1,AIM2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S95-A02,CXCR3+PD1+ Cell4,Unknown,1,CCR3,Test,15.8929344825797,1,Pass,0.0174594131105956,78.0246007507964,999,1,
S95-A03,CXCR3+PD1+ Cell4,Unknown,1,CD4,Test,15.0039052276822,1,Pass,0.0174594131105956,81.9534434819395,999,1,
S95-A04,CXCR3+PD1+ Cell4,Unknown,1,CXCL10,Test,16.0445780624238,1,Pass,0.0174594131105956,80.2606753310269,999,1,
S95-A05,CXCR3+PD1+ Cell4,Unknown,1,GSK3A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S95-A06,CXCR3+PD1+ Cell4,Unknown,1,IFIT3,Test,14.8220040060426,1,Pass,0.0174594131105956,79.7962929499808,999,1,
S95-A07,CXCR3+PD1+ Cell4,Unknown,1,IL2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S95-A08,CXCR3+PD1+ Cell4,Unknown,1,IL5RA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S95-A09,CXCR3+PD1+ Cell4,Unknown,1,ISG15,Test,28.9217279630429,0,Fail,0.0174594131105956,999,999,0,
S95-A10,CXCR3+PD1+ Cell4,Unknown,1,PPARA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S95-A11,CXCR3+PD1+ Cell4,Unknown,1,SOCS3,Test,17.9072490091517,1,Pass,0.0174594131105956,86.4075601728006,999,1,
S95-A12,CXCR3+PD1+ Cell4,Unknown,1,TNFAIP3,Test,15.6210013786013,1,Pass,0.0174594131105956,84.3218914998106,999,1,
S95-A13,CXCR3+PD1+ Cell4,Unknown,1,B2M,Test,10.4997295681687,1,Pass,0.0174594131105956,83.1082246197524,999,1,
S95-A14,CXCR3+PD1+ Cell4,Unknown,1,CCR4,Test,16.4152608554081,0,Fail,0.0174594131105956,84.9119761365825,76.2073333857689,0.652206769460167,
S95-A15,CXCR3+PD1+ Cell4,Unknown,1,CD40,Test,15.6905139946608,1,Pass,0.0174594131105956,87.8452124942462,999,1,
S95-A16,CXCR3+PD1+ Cell4,Unknown,1,CXCL9,Test,999,0,Fail,0.0174594131105956,999,999,0,
